=======================================================
swish
Epoch 33, Loss 0.017, Train Accuracy 0.997, Validation Accuracy 0.963, Train F1-Macro 0.996, Validation F1-Macro 0.963, Train F1-Micro 0.997, Validation F1-Micro 0.963
Epoch 34, Loss 0.016, Train Accuracy 0.997, Validation Accuracy 0.963, Train F1-Macro 0.997, Validation F1-Macro 0.963, Train F1-Micro 0.997, Validation F1-Micro 0.963
Epoch 35, Loss 0.015, Train Accuracy 0.999, Validation Accuracy 0.963, Train F1-Macro 0.998, Validation F1-Macro 0.962, Train F1-Micro 0.999, Validation F1-Micro 0.962
Epoch 36, Loss 0.015, Train Accuracy 0.998, Validation Accuracy 0.963, Train F1-Macro 0.998, Validation F1-Macro 0.963, Train F1-Micro 0.998, Validation F1-Micro 0.963
Epoch 37, Loss 0.015, Train Accuracy 0.997, Validation Accuracy 0.963, Train F1-Macro 0.997, Validation F1-Macro 0.963, Train F1-Micro 0.997, Validation F1-Micro 0.963
Epoch 38, Loss 0.014, Train Accuracy 0.998, Validation Accuracy 0.963, Train F1-Macro 0.997, Validation F1-Macro 0.963, Train F1-Micro 0.998, Validation F1-Micro 0.963
Epoch 39, Loss 0.014, Train Accuracy 0.998, Validation Accuracy 0.963, Train F1-Macro 0.998, Validation F1-Macro 0.963, Train F1-Micro 0.998, Validation F1-Micro 0.963
Epoch 40, Loss 0.013, Train Accuracy 0.999, Validation Accuracy 0.963, Train F1-Macro 0.998, Validation F1-Macro 0.963, Train F1-Micro 0.999, Validation F1-Micro 0.963
Epoch 41, Loss 0.013, Train Accuracy 0.998, Validation Accuracy 0.963, Train F1-Macro 0.998, Validation F1-Macro 0.963, Train F1-Micro 0.998, Validation F1-Micro 0.963


=======================================================
relu
Epoch 0, Loss 1.439, Train Accuracy 0.833, Validation Accuracy 0.822, Train F1-Macro 0.832, Validation F1-Macro 0.821, Train F1-Micro 0.833, Validation F1-Micro 0.821
Epoch 1, Loss 0.472, Train Accuracy 0.893, Validation Accuracy 0.890, Train F1-Macro 0.891, Validation F1-Macro 0.890, Train F1-Micro 0.893, Validation F1-Micro 0.890
Epoch 2, Loss 0.346, Train Accuracy 0.909, Validation Accuracy 0.907, Train F1-Macro 0.908, Validation F1-Macro 0.907, Train F1-Micro 0.909, Validation F1-Micro 0.907
Epoch 3, Loss 0.281, Train Accuracy 0.924, Validation Accuracy 0.920, Train F1-Macro 0.922, Validation F1-Macro 0.920, Train F1-Micro 0.924, Validation F1-Micro 0.920
Epoch 4, Loss 0.242, Train Accuracy 0.932, Validation Accuracy 0.927, Train F1-Macro 0.931, Validation F1-Macro 0.927, Train F1-Micro 0.932, Validation F1-Micro 0.927
Epoch 5, Loss 0.216, Train Accuracy 0.940, Validation Accuracy 0.934, Train F1-Macro 0.938, Validation F1-Macro 0.934, Train F1-Micro 0.940, Validation F1-Micro 0.934
Epoch 6, Loss 0.198, Train Accuracy 0.940, Validation Accuracy 0.937, Train F1-Macro 0.937, Validation F1-Macro 0.936, Train F1-Micro 0.940, Validation F1-Micro 0.936
Epoch 7, Loss 0.180, Train Accuracy 0.948, Validation Accuracy 0.939, Train F1-Macro 0.947, Validation F1-Macro 0.939, Train F1-Micro 0.948, Validation F1-Micro 0.939
Epoch 8, Loss 0.169, Train Accuracy 0.953, Validation Accuracy 0.940, Train F1-Macro 0.951, Validation F1-Macro 0.940, Train F1-Micro 0.953, Validation F1-Micro 0.940
Epoch 9, Loss 0.157, Train Accuracy 0.957, Validation Accuracy 0.942, Train F1-Macro 0.956, Validation F1-Macro 0.942, Train F1-Micro 0.957, Validation F1-Micro 0.942
Epoch 10, Loss 0.146, Train Accuracy 0.964, Validation Accuracy 0.942, Train F1-Macro 0.963, Validation F1-Macro 0.942, Train F1-Micro 0.964, Validation F1-Micro 0.942
Epoch 11, Loss 0.136, Train Accuracy 0.968, Validation Accuracy 0.943, Train F1-Macro 0.967, Validation F1-Macro 0.943, Train F1-Micro 0.968, Validation F1-Micro 0.943
Epoch 12, Loss 0.126, Train Accuracy 0.964, Validation Accuracy 0.947, Train F1-Macro 0.962, Validation F1-Macro 0.947, Train F1-Micro 0.964, Validation F1-Micro 0.947
Epoch 13, Loss 0.117, Train Accuracy 0.969, Validation Accuracy 0.947, Train F1-Macro 0.969, Validation F1-Macro 0.947, Train F1-Micro 0.969, Validation F1-Micro 0.947
Epoch 14, Loss 0.112, Train Accuracy 0.969, Validation Accuracy 0.946, Train F1-Macro 0.967, Validation F1-Macro 0.946, Train F1-Micro 0.969, Validation F1-Micro 0.946
Epoch 15, Loss 0.105, Train Accuracy 0.971, Validation Accuracy 0.946, Train F1-Macro 0.971, Validation F1-Macro 0.946, Train F1-Micro 0.971, Validation F1-Micro 0.946
Epoch 16, Loss 0.099, Train Accuracy 0.973, Validation Accuracy 0.944, Train F1-Macro 0.972, Validation F1-Macro 0.943, Train F1-Micro 0.973, Validation F1-Micro 0.943
Epoch 17, Loss 0.094, Train Accuracy 0.971, Validation Accuracy 0.944, Train F1-Macro 0.970, Validation F1-Macro 0.944, Train F1-Micro 0.971, Validation F1-Micro 0.944
Epoch 18, Loss 0.088, Train Accuracy 0.977, Validation Accuracy 0.944, Train F1-Macro 0.976, Validation F1-Macro 0.944, Train F1-Micro 0.977, Validation F1-Micro 0.944
Epoch 19, Loss 0.085, Train Accuracy 0.974, Validation Accuracy 0.945, Train F1-Macro 0.973, Validation F1-Macro 0.944, Train F1-Micro 0.974, Validation F1-Micro 0.944
Epoch 20, Loss 0.081, Train Accuracy 0.980, Validation Accuracy 0.946, Train F1-Macro 0.979, Validation F1-Macro 0.946, Train F1-Micro 0.980, Validation F1-Micro 0.946
Epoch 21, Loss 0.079, Train Accuracy 0.978, Validation Accuracy 0.947, Train F1-Macro 0.978, Validation F1-Macro 0.946, Train F1-Micro 0.978, Validation F1-Micro 0.946
Epoch 22, Loss 0.078, Train Accuracy 0.975, Validation Accuracy 0.944, Train F1-Macro 0.974, Validation F1-Macro 0.944, Train F1-Micro 0.975, Validation F1-Micro 0.944
Epoch 23, Loss 0.077, Train Accuracy 0.982, Validation Accuracy 0.946, Train F1-Macro 0.981, Validation F1-Macro 0.946, Train F1-Micro 0.982, Validation F1-Micro 0.946
Epoch 24, Loss 0.073, Train Accuracy 0.978, Validation Accuracy 0.948, Train F1-Macro 0.977, Validation F1-Macro 0.947, Train F1-Micro 0.978, Validation F1-Micro 0.947
Epoch 25, Loss 0.065, Train Accuracy 0.985, Validation Accuracy 0.952, Train F1-Macro 0.985, Validation F1-Macro 0.951, Train F1-Micro 0.985, Validation F1-Micro 0.951
Epoch 26, Loss 0.062, Train Accuracy 0.987, Validation Accuracy 0.950, Train F1-Macro 0.986, Validation F1-Macro 0.950, Train F1-Micro 0.987, Validation F1-Micro 0.950
Epoch 27, Loss 0.060, Train Accuracy 0.984, Validation Accuracy 0.950, Train F1-Macro 0.983, Validation F1-Macro 0.949, Train F1-Micro 0.984, Validation F1-Micro 0.949
Epoch 28, Loss 0.059, Train Accuracy 0.987, Validation Accuracy 0.949, Train F1-Macro 0.986, Validation F1-Macro 0.949, Train F1-Micro 0.987, Validation F1-Micro 0.949
