=======================================================
dolphins
Epoch 33, Loss 1.318, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 34, Loss 1.317, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 35, Loss 1.317, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 36, Loss 1.316, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 37, Loss 1.316, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 38, Loss 1.315, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 39, Loss 1.315, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 40, Loss 1.314, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 41, Loss 1.313, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 42, Loss 1.313, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 43, Loss 1.312, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 44, Loss 1.312, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 45, Loss 1.311, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 46, Loss 1.310, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 47, Loss 1.310, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 48, Loss 1.309, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 49, Loss 1.309, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 50, Loss 1.308, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 51, Loss 1.308, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 52, Loss 1.307, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 53, Loss 1.306, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 54, Loss 1.306, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 55, Loss 1.305, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 56, Loss 1.305, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 57, Loss 1.304, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 58, Loss 1.304, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 59, Loss 1.303, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 60, Loss 1.303, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 61, Loss 1.302, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 62, Loss 1.301, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 63, Loss 1.301, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 64, Loss 1.300, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 65, Loss 1.300, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
