=======================================================
1 layer
Epoch 33, Loss 0.167, Train Accuracy 0.955, Validation Accuracy 0.917, Train F1-Macro 0.957, Validation F1-Macro 0.917, Train F1-Micro 0.955, Validation F1-Micro 0.917
Epoch 34, Loss 0.160, Train Accuracy 0.960, Validation Accuracy 0.915, Train F1-Macro 0.962, Validation F1-Macro 0.915, Train F1-Micro 0.960, Validation F1-Micro 0.915
Epoch 35, Loss 0.149, Train Accuracy 0.950, Validation Accuracy 0.917, Train F1-Macro 0.954, Validation F1-Macro 0.917, Train F1-Micro 0.950, Validation F1-Micro 0.917
Epoch 36, Loss 0.153, Train Accuracy 0.965, Validation Accuracy 0.916, Train F1-Macro 0.967, Validation F1-Macro 0.916, Train F1-Micro 0.965, Validation F1-Micro 0.916
Epoch 37, Loss 0.147, Train Accuracy 0.960, Validation Accuracy 0.922, Train F1-Macro 0.962, Validation F1-Macro 0.921, Train F1-Micro 0.960, Validation F1-Micro 0.921
Epoch 38, Loss 0.162, Train Accuracy 0.940, Validation Accuracy 0.917, Train F1-Macro 0.945, Validation F1-Macro 0.917, Train F1-Micro 0.940, Validation F1-Micro 0.917
Epoch 39, Loss 0.155, Train Accuracy 0.955, Validation Accuracy 0.915, Train F1-Macro 0.958, Validation F1-Macro 0.915, Train F1-Micro 0.955, Validation F1-Micro 0.915
Epoch 40, Loss 0.161, Train Accuracy 0.955, Validation Accuracy 0.920, Train F1-Macro 0.959, Validation F1-Macro 0.920, Train F1-Micro 0.955, Validation F1-Micro 0.920
Epoch 41, Loss 0.143, Train Accuracy 0.955, Validation Accuracy 0.919, Train F1-Macro 0.959, Validation F1-Macro 0.919, Train F1-Micro 0.955, Validation F1-Micro 0.919
Epoch 42, Loss 0.129, Train Accuracy 0.950, Validation Accuracy 0.916, Train F1-Macro 0.954, Validation F1-Macro 0.916, Train F1-Micro 0.950, Validation F1-Micro 0.916
Epoch 43, Loss 0.136, Train Accuracy 0.955, Validation Accuracy 0.918, Train F1-Macro 0.957, Validation F1-Macro 0.918, Train F1-Micro 0.955, Validation F1-Micro 0.918
