=======================================================
784-200-100-30-2
Epoch 33, Loss 0.630, Train Accuracy 0.630, Validation Accuracy 0.625, Train F1-Macro 0.630, Validation F1-Macro 0.625, Train F1-Micro 0.630, Validation F1-Micro 0.625
Epoch 34, Loss 0.629, Train Accuracy 0.647, Validation Accuracy 0.624, Train F1-Macro 0.646, Validation F1-Macro 0.623, Train F1-Micro 0.647, Validation F1-Micro 0.623
Epoch 35, Loss 0.627, Train Accuracy 0.633, Validation Accuracy 0.623, Train F1-Macro 0.633, Validation F1-Macro 0.622, Train F1-Micro 0.633, Validation F1-Micro 0.622
Epoch 36, Loss 0.625, Train Accuracy 0.657, Validation Accuracy 0.623, Train F1-Macro 0.657, Validation F1-Macro 0.623, Train F1-Micro 0.657, Validation F1-Micro 0.623
Epoch 37, Loss 0.623, Train Accuracy 0.635, Validation Accuracy 0.618, Train F1-Macro 0.634, Validation F1-Macro 0.617, Train F1-Micro 0.635, Validation F1-Micro 0.617
Epoch 38, Loss 0.622, Train Accuracy 0.642, Validation Accuracy 0.614, Train F1-Macro 0.633, Validation F1-Macro 0.606, Train F1-Micro 0.642, Validation F1-Micro 0.606
Epoch 39, Loss 0.623, Train Accuracy 0.647, Validation Accuracy 0.617, Train F1-Macro 0.645, Validation F1-Macro 0.615, Train F1-Micro 0.647, Validation F1-Micro 0.615
Epoch 40, Loss 0.618, Train Accuracy 0.661, Validation Accuracy 0.620, Train F1-Macro 0.661, Validation F1-Macro 0.620, Train F1-Micro 0.661, Validation F1-Micro 0.620
Epoch 41, Loss 0.619, Train Accuracy 0.630, Validation Accuracy 0.596, Train F1-Macro 0.604, Validation F1-Macro 0.571, Train F1-Micro 0.630, Validation F1-Micro 0.571
Epoch 42, Loss 0.634, Train Accuracy 0.657, Validation Accuracy 0.617, Train F1-Macro 0.657, Validation F1-Macro 0.617, Train F1-Micro 0.657, Validation F1-Micro 0.617
Epoch 43, Loss 0.625, Train Accuracy 0.648, Validation Accuracy 0.625, Train F1-Macro 0.648, Validation F1-Macro 0.625, Train F1-Micro 0.648, Validation F1-Micro 0.625
Epoch 44, Loss 0.617, Train Accuracy 0.664, Validation Accuracy 0.612, Train F1-Macro 0.664, Validation F1-Macro 0.611, Train F1-Micro 0.664, Validation F1-Micro 0.611
Epoch 45, Loss 0.610, Train Accuracy 0.662, Validation Accuracy 0.621, Train F1-Macro 0.661, Validation F1-Macro 0.620, Train F1-Micro 0.662, Validation F1-Micro 0.620
Epoch 46, Loss 0.608, Train Accuracy 0.659, Validation Accuracy 0.610, Train F1-Macro 0.653, Validation F1-Macro 0.604, Train F1-Micro 0.659, Validation F1-Micro 0.604
Epoch 47, Loss 0.608, Train Accuracy 0.668, Validation Accuracy 0.621, Train F1-Macro 0.667, Validation F1-Macro 0.621, Train F1-Micro 0.668, Validation F1-Micro 0.621
Epoch 48, Loss 0.606, Train Accuracy 0.676, Validation Accuracy 0.618, Train F1-Macro 0.675, Validation F1-Macro 0.616, Train F1-Micro 0.676, Validation F1-Micro 0.616
Epoch 49, Loss 0.608, Train Accuracy 0.661, Validation Accuracy 0.611, Train F1-Macro 0.661, Validation F1-Macro 0.611, Train F1-Micro 0.661, Validation F1-Micro 0.611
Epoch 50, Loss 0.608, Train Accuracy 0.672, Validation Accuracy 0.617, Train F1-Macro 0.672, Validation F1-Macro 0.617, Train F1-Micro 0.672, Validation F1-Micro 0.617


=======================================================
784-500-200-2
Epoch 0, Loss 1.340, Train Accuracy 0.493, Validation Accuracy 0.507, Train F1-Macro 0.330, Validation F1-Macro 0.336, Train F1-Micro 0.493, Validation F1-Micro 0.336
