=======================================================
pubmed
Epoch 33, Loss 1.058, Train Accuracy 0.440, Validation Accuracy 0.411, Train F1-Macro 0.309, Validation F1-Macro 0.292, Train F1-Micro 0.440, Validation F1-Micro 0.292
Epoch 34, Loss 1.058, Train Accuracy 0.439, Validation Accuracy 0.412, Train F1-Macro 0.309, Validation F1-Macro 0.293, Train F1-Micro 0.439, Validation F1-Micro 0.293
Epoch 35, Loss 1.058, Train Accuracy 0.441, Validation Accuracy 0.414, Train F1-Macro 0.311, Validation F1-Macro 0.295, Train F1-Micro 0.441, Validation F1-Micro 0.295
Epoch 36, Loss 1.058, Train Accuracy 0.438, Validation Accuracy 0.414, Train F1-Macro 0.309, Validation F1-Macro 0.295, Train F1-Micro 0.438, Validation F1-Micro 0.295
Epoch 37, Loss 1.058, Train Accuracy 0.437, Validation Accuracy 0.414, Train F1-Macro 0.308, Validation F1-Macro 0.295, Train F1-Micro 0.437, Validation F1-Micro 0.295
Epoch 38, Loss 1.058, Train Accuracy 0.437, Validation Accuracy 0.414, Train F1-Macro 0.308, Validation F1-Macro 0.295, Train F1-Micro 0.437, Validation F1-Micro 0.295
Epoch 39, Loss 1.058, Train Accuracy 0.439, Validation Accuracy 0.418, Train F1-Macro 0.310, Validation F1-Macro 0.299, Train F1-Micro 0.439, Validation F1-Micro 0.299
Epoch 40, Loss 1.058, Train Accuracy 0.442, Validation Accuracy 0.419, Train F1-Macro 0.313, Validation F1-Macro 0.300, Train F1-Micro 0.442, Validation F1-Micro 0.300
Epoch 41, Loss 1.058, Train Accuracy 0.443, Validation Accuracy 0.419, Train F1-Macro 0.314, Validation F1-Macro 0.301, Train F1-Micro 0.443, Validation F1-Micro 0.301
Epoch 42, Loss 1.058, Train Accuracy 0.440, Validation Accuracy 0.419, Train F1-Macro 0.313, Validation F1-Macro 0.301, Train F1-Micro 0.440, Validation F1-Micro 0.301
Epoch 43, Loss 1.057, Train Accuracy 0.438, Validation Accuracy 0.419, Train F1-Macro 0.312, Validation F1-Macro 0.301, Train F1-Micro 0.438, Validation F1-Micro 0.301
Epoch 44, Loss 1.057, Train Accuracy 0.437, Validation Accuracy 0.420, Train F1-Macro 0.311, Validation F1-Macro 0.302, Train F1-Micro 0.437, Validation F1-Micro 0.302
Epoch 45, Loss 1.057, Train Accuracy 0.439, Validation Accuracy 0.421, Train F1-Macro 0.313, Validation F1-Macro 0.303, Train F1-Micro 0.439, Validation F1-Micro 0.303
Epoch 46, Loss 1.057, Train Accuracy 0.439, Validation Accuracy 0.419, Train F1-Macro 0.314, Validation F1-Macro 0.301, Train F1-Micro 0.439, Validation F1-Micro 0.301
Epoch 47, Loss 1.057, Train Accuracy 0.438, Validation Accuracy 0.421, Train F1-Macro 0.313, Validation F1-Macro 0.304, Train F1-Micro 0.438, Validation F1-Micro 0.304
Epoch 48, Loss 1.057, Train Accuracy 0.438, Validation Accuracy 0.421, Train F1-Macro 0.313, Validation F1-Macro 0.304, Train F1-Micro 0.438, Validation F1-Micro 0.304
Epoch 49, Loss 1.057, Train Accuracy 0.438, Validation Accuracy 0.421, Train F1-Macro 0.314, Validation F1-Macro 0.304, Train F1-Micro 0.438, Validation F1-Micro 0.304
Epoch 50, Loss 1.057, Train Accuracy 0.437, Validation Accuracy 0.419, Train F1-Macro 0.313, Validation F1-Macro 0.303, Train F1-Micro 0.437, Validation F1-Micro 0.303
Epoch 51, Loss 1.057, Train Accuracy 0.439, Validation Accuracy 0.419, Train F1-Macro 0.315, Validation F1-Macro 0.303, Train F1-Micro 0.439, Validation F1-Micro 0.303
Epoch 52, Loss 1.056, Train Accuracy 0.439, Validation Accuracy 0.416, Train F1-Macro 0.315, Validation F1-Macro 0.301, Train F1-Micro 0.439, Validation F1-Micro 0.301
Epoch 53, Loss 1.056, Train Accuracy 0.437, Validation Accuracy 0.416, Train F1-Macro 0.314, Validation F1-Macro 0.302, Train F1-Micro 0.437, Validation F1-Micro 0.302
Epoch 54, Loss 1.056, Train Accuracy 0.437, Validation Accuracy 0.415, Train F1-Macro 0.314, Validation F1-Macro 0.301, Train F1-Micro 0.437, Validation F1-Micro 0.301
Epoch 55, Loss 1.056, Train Accuracy 0.438, Validation Accuracy 0.417, Train F1-Macro 0.315, Validation F1-Macro 0.303, Train F1-Micro 0.438, Validation F1-Micro 0.303
Epoch 56, Loss 1.056, Train Accuracy 0.439, Validation Accuracy 0.414, Train F1-Macro 0.316, Validation F1-Macro 0.301, Train F1-Micro 0.439, Validation F1-Micro 0.301
Epoch 57, Loss 1.056, Train Accuracy 0.440, Validation Accuracy 0.414, Train F1-Macro 0.317, Validation F1-Macro 0.301, Train F1-Micro 0.440, Validation F1-Micro 0.301
Epoch 58, Loss 1.056, Train Accuracy 0.441, Validation Accuracy 0.416, Train F1-Macro 0.318, Validation F1-Macro 0.303, Train F1-Micro 0.441, Validation F1-Micro 0.303
Epoch 59, Loss 1.056, Train Accuracy 0.442, Validation Accuracy 0.416, Train F1-Macro 0.319, Validation F1-Macro 0.303, Train F1-Micro 0.442, Validation F1-Micro 0.303
Epoch 60, Loss 1.056, Train Accuracy 0.442, Validation Accuracy 0.416, Train F1-Macro 0.319, Validation F1-Macro 0.303, Train F1-Micro 0.442, Validation F1-Micro 0.303
Epoch 61, Loss 1.056, Train Accuracy 0.444, Validation Accuracy 0.417, Train F1-Macro 0.321, Validation F1-Macro 0.304, Train F1-Micro 0.444, Validation F1-Micro 0.304
Epoch 62, Loss 1.055, Train Accuracy 0.445, Validation Accuracy 0.417, Train F1-Macro 0.322, Validation F1-Macro 0.304, Train F1-Micro 0.445, Validation F1-Micro 0.304
Epoch 63, Loss 1.055, Train Accuracy 0.446, Validation Accuracy 0.418, Train F1-Macro 0.322, Validation F1-Macro 0.305, Train F1-Micro 0.446, Validation F1-Micro 0.305
Epoch 64, Loss 1.055, Train Accuracy 0.446, Validation Accuracy 0.419, Train F1-Macro 0.322, Validation F1-Macro 0.306, Train F1-Micro 0.446, Validation F1-Micro 0.306
Epoch 65, Loss 1.055, Train Accuracy 0.446, Validation Accuracy 0.419, Train F1-Macro 0.323, Validation F1-Macro 0.306, Train F1-Micro 0.446, Validation F1-Micro 0.306
