=======================================================
swish
Epoch 0, Loss 1.912, Train Accuracy 0.516, Validation Accuracy 0.504, Train F1-Macro 0.341, Validation F1-Macro 0.335, Train F1-Micro 0.516, Validation F1-Micro 0.335
Epoch 1, Loss 0.701, Train Accuracy 0.484, Validation Accuracy 0.484, Train F1-Macro 0.374, Validation F1-Macro 0.370, Train F1-Micro 0.484, Validation F1-Micro 0.370
Epoch 2, Loss 0.693, Train Accuracy 0.577, Validation Accuracy 0.563, Train F1-Macro 0.572, Validation F1-Macro 0.559, Train F1-Micro 0.577, Validation F1-Micro 0.559
Epoch 3, Loss 0.694, Train Accuracy 0.558, Validation Accuracy 0.554, Train F1-Macro 0.554, Validation F1-Macro 0.551, Train F1-Micro 0.558, Validation F1-Micro 0.551
Epoch 4, Loss 0.692, Train Accuracy 0.553, Validation Accuracy 0.547, Train F1-Macro 0.553, Validation F1-Macro 0.547, Train F1-Micro 0.553, Validation F1-Micro 0.547
Epoch 5, Loss 0.693, Train Accuracy 0.569, Validation Accuracy 0.558, Train F1-Macro 0.565, Validation F1-Macro 0.554, Train F1-Micro 0.569, Validation F1-Micro 0.554
Epoch 6, Loss 0.680, Train Accuracy 0.582, Validation Accuracy 0.546, Train F1-Macro 0.510, Validation F1-Macro 0.473, Train F1-Micro 0.582, Validation F1-Micro 0.473
Epoch 7, Loss 0.688, Train Accuracy 0.529, Validation Accuracy 0.537, Train F1-Macro 0.464, Validation F1-Macro 0.469, Train F1-Micro 0.529, Validation F1-Micro 0.469
Epoch 8, Loss 0.675, Train Accuracy 0.601, Validation Accuracy 0.569, Train F1-Macro 0.557, Validation F1-Macro 0.526, Train F1-Micro 0.601, Validation F1-Micro 0.526
Epoch 9, Loss 0.675, Train Accuracy 0.622, Validation Accuracy 0.600, Train F1-Macro 0.621, Validation F1-Macro 0.600, Train F1-Micro 0.622, Validation F1-Micro 0.600
Epoch 10, Loss 0.663, Train Accuracy 0.623, Validation Accuracy 0.605, Train F1-Macro 0.618, Validation F1-Macro 0.600, Train F1-Micro 0.623, Validation F1-Micro 0.600
Epoch 11, Loss 0.663, Train Accuracy 0.615, Validation Accuracy 0.602, Train F1-Macro 0.615, Validation F1-Macro 0.601, Train F1-Micro 0.615, Validation F1-Micro 0.601
Epoch 12, Loss 0.657, Train Accuracy 0.623, Validation Accuracy 0.609, Train F1-Macro 0.619, Validation F1-Macro 0.606, Train F1-Micro 0.623, Validation F1-Micro 0.606
Epoch 13, Loss 0.658, Train Accuracy 0.623, Validation Accuracy 0.605, Train F1-Macro 0.622, Validation F1-Macro 0.605, Train F1-Micro 0.623, Validation F1-Micro 0.605
Epoch 14, Loss 0.654, Train Accuracy 0.630, Validation Accuracy 0.611, Train F1-Macro 0.626, Validation F1-Macro 0.607, Train F1-Micro 0.630, Validation F1-Micro 0.607
Epoch 15, Loss 0.657, Train Accuracy 0.620, Validation Accuracy 0.604, Train F1-Macro 0.619, Validation F1-Macro 0.603, Train F1-Micro 0.620, Validation F1-Micro 0.603
