=======================================================
1 layer
Epoch 0, Loss 2.085, Train Accuracy 0.507, Validation Accuracy 0.501, Train F1-Macro 0.336, Validation F1-Macro 0.334, Train F1-Micro 0.507, Validation F1-Micro 0.334
Epoch 1, Loss 0.710, Train Accuracy 0.500, Validation Accuracy 0.499, Train F1-Macro 0.333, Validation F1-Macro 0.333, Train F1-Micro 0.500, Validation F1-Micro 0.333
Epoch 2, Loss 0.693, Train Accuracy 0.507, Validation Accuracy 0.502, Train F1-Macro 0.339, Validation F1-Macro 0.339, Train F1-Micro 0.507, Validation F1-Micro 0.339
Epoch 3, Loss 0.693, Train Accuracy 0.512, Validation Accuracy 0.519, Train F1-Macro 0.418, Validation F1-Macro 0.428, Train F1-Micro 0.512, Validation F1-Micro 0.428
Epoch 4, Loss 0.693, Train Accuracy 0.556, Validation Accuracy 0.545, Train F1-Macro 0.550, Validation F1-Macro 0.540, Train F1-Micro 0.556, Validation F1-Micro 0.540
Epoch 5, Loss 0.693, Train Accuracy 0.556, Validation Accuracy 0.547, Train F1-Macro 0.555, Validation F1-Macro 0.545, Train F1-Micro 0.556, Validation F1-Micro 0.545
Epoch 6, Loss 0.693, Train Accuracy 0.553, Validation Accuracy 0.551, Train F1-Macro 0.534, Validation F1-Macro 0.533, Train F1-Micro 0.553, Validation F1-Micro 0.533
Epoch 7, Loss 0.693, Train Accuracy 0.536, Validation Accuracy 0.537, Train F1-Macro 0.479, Validation F1-Macro 0.484, Train F1-Micro 0.536, Validation F1-Micro 0.484
Epoch 8, Loss 0.692, Train Accuracy 0.530, Validation Accuracy 0.532, Train F1-Macro 0.442, Validation F1-Macro 0.446, Train F1-Micro 0.530, Validation F1-Micro 0.446
Epoch 9, Loss 0.692, Train Accuracy 0.519, Validation Accuracy 0.523, Train F1-Macro 0.422, Validation F1-Macro 0.420, Train F1-Micro 0.519, Validation F1-Micro 0.420
Epoch 10, Loss 0.692, Train Accuracy 0.528, Validation Accuracy 0.527, Train F1-Macro 0.427, Validation F1-Macro 0.430, Train F1-Micro 0.528, Validation F1-Micro 0.430
Epoch 11, Loss 0.692, Train Accuracy 0.523, Validation Accuracy 0.530, Train F1-Macro 0.435, Validation F1-Macro 0.442, Train F1-Micro 0.523, Validation F1-Micro 0.442
Epoch 12, Loss 0.692, Train Accuracy 0.541, Validation Accuracy 0.542, Train F1-Macro 0.472, Validation F1-Macro 0.477, Train F1-Micro 0.541, Validation F1-Micro 0.477
Epoch 13, Loss 0.691, Train Accuracy 0.545, Validation Accuracy 0.548, Train F1-Macro 0.491, Validation F1-Macro 0.494, Train F1-Micro 0.545, Validation F1-Micro 0.494
Epoch 14, Loss 0.691, Train Accuracy 0.559, Validation Accuracy 0.554, Train F1-Macro 0.512, Validation F1-Macro 0.509, Train F1-Micro 0.559, Validation F1-Micro 0.509
Epoch 15, Loss 0.691, Train Accuracy 0.555, Validation Accuracy 0.555, Train F1-Macro 0.518, Validation F1-Macro 0.514, Train F1-Micro 0.555, Validation F1-Micro 0.514
Epoch 16, Loss 0.690, Train Accuracy 0.570, Validation Accuracy 0.558, Train F1-Macro 0.535, Validation F1-Macro 0.526, Train F1-Micro 0.570, Validation F1-Micro 0.526
Epoch 17, Loss 0.690, Train Accuracy 0.559, Validation Accuracy 0.556, Train F1-Macro 0.531, Validation F1-Macro 0.526, Train F1-Micro 0.559, Validation F1-Micro 0.526
Epoch 18, Loss 0.689, Train Accuracy 0.573, Validation Accuracy 0.560, Train F1-Macro 0.548, Validation F1-Macro 0.538, Train F1-Micro 0.573, Validation F1-Micro 0.538
Epoch 19, Loss 0.689, Train Accuracy 0.564, Validation Accuracy 0.561, Train F1-Macro 0.543, Validation F1-Macro 0.538, Train F1-Micro 0.564, Validation F1-Micro 0.538
Epoch 20, Loss 0.689, Train Accuracy 0.572, Validation Accuracy 0.564, Train F1-Macro 0.555, Validation F1-Macro 0.549, Train F1-Micro 0.572, Validation F1-Micro 0.549
Epoch 21, Loss 0.688, Train Accuracy 0.568, Validation Accuracy 0.567, Train F1-Macro 0.554, Validation F1-Macro 0.552, Train F1-Micro 0.568, Validation F1-Micro 0.552
Epoch 22, Loss 0.688, Train Accuracy 0.579, Validation Accuracy 0.570, Train F1-Macro 0.566, Validation F1-Macro 0.559, Train F1-Micro 0.579, Validation F1-Micro 0.559
Epoch 23, Loss 0.687, Train Accuracy 0.573, Validation Accuracy 0.570, Train F1-Macro 0.563, Validation F1-Macro 0.560, Train F1-Micro 0.573, Validation F1-Micro 0.560
Epoch 24, Loss 0.687, Train Accuracy 0.581, Validation Accuracy 0.573, Train F1-Macro 0.572, Validation F1-Macro 0.565, Train F1-Micro 0.581, Validation F1-Micro 0.565
Epoch 25, Loss 0.686, Train Accuracy 0.569, Validation Accuracy 0.572, Train F1-Macro 0.563, Validation F1-Macro 0.564, Train F1-Micro 0.569, Validation F1-Micro 0.564
Epoch 26, Loss 0.686, Train Accuracy 0.577, Validation Accuracy 0.572, Train F1-Macro 0.569, Validation F1-Macro 0.565, Train F1-Micro 0.577, Validation F1-Micro 0.565
Epoch 27, Loss 0.685, Train Accuracy 0.573, Validation Accuracy 0.574, Train F1-Macro 0.569, Validation F1-Macro 0.569, Train F1-Micro 0.573, Validation F1-Micro 0.569
Epoch 28, Loss 0.685, Train Accuracy 0.574, Validation Accuracy 0.571, Train F1-Macro 0.567, Validation F1-Macro 0.566, Train F1-Micro 0.574, Validation F1-Micro 0.566
Epoch 29, Loss 0.685, Train Accuracy 0.567, Validation Accuracy 0.573, Train F1-Macro 0.565, Validation F1-Macro 0.570, Train F1-Micro 0.567, Validation F1-Micro 0.570
Epoch 30, Loss 0.684, Train Accuracy 0.572, Validation Accuracy 0.572, Train F1-Macro 0.567, Validation F1-Macro 0.568, Train F1-Micro 0.572, Validation F1-Micro 0.568
Epoch 31, Loss 0.684, Train Accuracy 0.565, Validation Accuracy 0.573, Train F1-Macro 0.564, Validation F1-Macro 0.572, Train F1-Micro 0.565, Validation F1-Micro 0.572
Epoch 32, Loss 0.684, Train Accuracy 0.572, Validation Accuracy 0.574, Train F1-Macro 0.571, Validation F1-Macro 0.572, Train F1-Micro 0.572, Validation F1-Micro 0.572
Epoch 33, Loss 0.683, Train Accuracy 0.562, Validation Accuracy 0.575, Train F1-Macro 0.560, Validation F1-Macro 0.573, Train F1-Micro 0.562, Validation F1-Micro 0.573
Epoch 34, Loss 0.684, Train Accuracy 0.570, Validation Accuracy 0.574, Train F1-Macro 0.569, Validation F1-Macro 0.573, Train F1-Micro 0.570, Validation F1-Micro 0.573
Epoch 35, Loss 0.683, Train Accuracy 0.567, Validation Accuracy 0.574, Train F1-Macro 0.565, Validation F1-Macro 0.573, Train F1-Micro 0.567, Validation F1-Micro 0.573
Epoch 36, Loss 0.683, Train Accuracy 0.572, Validation Accuracy 0.575, Train F1-Macro 0.571, Validation F1-Macro 0.574, Train F1-Micro 0.572, Validation F1-Micro 0.574
Epoch 37, Loss 0.683, Train Accuracy 0.565, Validation Accuracy 0.574, Train F1-Macro 0.563, Validation F1-Macro 0.573, Train F1-Micro 0.565, Validation F1-Micro 0.573
Epoch 38, Loss 0.683, Train Accuracy 0.571, Validation Accuracy 0.576, Train F1-Macro 0.571, Validation F1-Macro 0.574, Train F1-Micro 0.571, Validation F1-Micro 0.574
Epoch 39, Loss 0.683, Train Accuracy 0.566, Validation Accuracy 0.575, Train F1-Macro 0.564, Validation F1-Macro 0.574, Train F1-Micro 0.566, Validation F1-Micro 0.574
Epoch 40, Loss 0.683, Train Accuracy 0.574, Validation Accuracy 0.574, Train F1-Macro 0.574, Validation F1-Macro 0.572, Train F1-Micro 0.574, Validation F1-Micro 0.572
Epoch 41, Loss 0.683, Train Accuracy 0.565, Validation Accuracy 0.575, Train F1-Macro 0.564, Validation F1-Macro 0.574, Train F1-Micro 0.565, Validation F1-Micro 0.574
Epoch 42, Loss 0.683, Train Accuracy 0.566, Validation Accuracy 0.574, Train F1-Macro 0.565, Validation F1-Macro 0.573, Train F1-Micro 0.566, Validation F1-Micro 0.573
Epoch 43, Loss 0.683, Train Accuracy 0.574, Validation Accuracy 0.575, Train F1-Macro 0.573, Validation F1-Macro 0.574, Train F1-Micro 0.574, Validation F1-Micro 0.574
Epoch 44, Loss 0.683, Train Accuracy 0.566, Validation Accuracy 0.575, Train F1-Macro 0.565, Validation F1-Macro 0.574, Train F1-Micro 0.566, Validation F1-Micro 0.574
Epoch 45, Loss 0.683, Train Accuracy 0.575, Validation Accuracy 0.575, Train F1-Macro 0.574, Validation F1-Macro 0.574, Train F1-Micro 0.575, Validation F1-Micro 0.574
Epoch 46, Loss 0.683, Train Accuracy 0.567, Validation Accuracy 0.574, Train F1-Macro 0.566, Validation F1-Macro 0.574, Train F1-Micro 0.567, Validation F1-Micro 0.574
Epoch 47, Loss 0.683, Train Accuracy 0.575, Validation Accuracy 0.574, Train F1-Macro 0.574, Validation F1-Macro 0.574, Train F1-Micro 0.575, Validation F1-Micro 0.574
