=======================================================
784-50-10
Epoch 33, Loss 0.171, Train Accuracy 0.948, Validation Accuracy 0.933, Train F1-Macro 0.946, Validation F1-Macro 0.933, Train F1-Micro 0.948, Validation F1-Micro 0.933
Epoch 34, Loss 0.168, Train Accuracy 0.944, Validation Accuracy 0.934, Train F1-Macro 0.943, Validation F1-Macro 0.934, Train F1-Micro 0.944, Validation F1-Micro 0.934
Epoch 35, Loss 0.165, Train Accuracy 0.951, Validation Accuracy 0.934, Train F1-Macro 0.950, Validation F1-Macro 0.934, Train F1-Micro 0.951, Validation F1-Micro 0.934
Epoch 36, Loss 0.163, Train Accuracy 0.953, Validation Accuracy 0.936, Train F1-Macro 0.952, Validation F1-Macro 0.935, Train F1-Micro 0.953, Validation F1-Micro 0.935
Epoch 37, Loss 0.160, Train Accuracy 0.947, Validation Accuracy 0.936, Train F1-Macro 0.946, Validation F1-Macro 0.936, Train F1-Micro 0.947, Validation F1-Micro 0.936
Epoch 38, Loss 0.157, Train Accuracy 0.950, Validation Accuracy 0.936, Train F1-Macro 0.948, Validation F1-Macro 0.936, Train F1-Micro 0.950, Validation F1-Micro 0.936
Epoch 39, Loss 0.154, Train Accuracy 0.948, Validation Accuracy 0.937, Train F1-Macro 0.947, Validation F1-Macro 0.937, Train F1-Micro 0.948, Validation F1-Micro 0.937
Epoch 40, Loss 0.152, Train Accuracy 0.954, Validation Accuracy 0.937, Train F1-Macro 0.953, Validation F1-Macro 0.937, Train F1-Micro 0.954, Validation F1-Micro 0.937
Epoch 41, Loss 0.150, Train Accuracy 0.955, Validation Accuracy 0.938, Train F1-Macro 0.954, Validation F1-Macro 0.938, Train F1-Micro 0.955, Validation F1-Micro 0.938
Epoch 42, Loss 0.147, Train Accuracy 0.949, Validation Accuracy 0.938, Train F1-Macro 0.948, Validation F1-Macro 0.938, Train F1-Micro 0.949, Validation F1-Micro 0.938
Epoch 43, Loss 0.145, Train Accuracy 0.952, Validation Accuracy 0.939, Train F1-Macro 0.950, Validation F1-Macro 0.939, Train F1-Micro 0.951, Validation F1-Micro 0.939
Epoch 44, Loss 0.143, Train Accuracy 0.952, Validation Accuracy 0.939, Train F1-Macro 0.951, Validation F1-Macro 0.939, Train F1-Micro 0.952, Validation F1-Micro 0.939
Epoch 45, Loss 0.141, Train Accuracy 0.957, Validation Accuracy 0.939, Train F1-Macro 0.956, Validation F1-Macro 0.939, Train F1-Micro 0.957, Validation F1-Micro 0.939
Epoch 46, Loss 0.139, Train Accuracy 0.960, Validation Accuracy 0.939, Train F1-Macro 0.959, Validation F1-Macro 0.939, Train F1-Micro 0.960, Validation F1-Micro 0.939
Epoch 47, Loss 0.137, Train Accuracy 0.955, Validation Accuracy 0.939, Train F1-Macro 0.954, Validation F1-Macro 0.939, Train F1-Micro 0.955, Validation F1-Micro 0.939
Epoch 48, Loss 0.135, Train Accuracy 0.957, Validation Accuracy 0.940, Train F1-Macro 0.955, Validation F1-Macro 0.939, Train F1-Micro 0.957, Validation F1-Micro 0.939
