=======================================================
twitter
Epoch 33, Loss 0.987, Train Accuracy 0.518, Validation Accuracy 0.523, Train F1-Macro 0.227, Validation F1-Macro 0.229, Train F1-Micro 0.518, Validation F1-Micro 0.229
Epoch 34, Loss 0.988, Train Accuracy 0.501, Validation Accuracy 0.523, Train F1-Macro 0.223, Validation F1-Macro 0.229, Train F1-Micro 0.501, Validation F1-Micro 0.229
Epoch 35, Loss 0.986, Train Accuracy 0.514, Validation Accuracy 0.523, Train F1-Macro 0.226, Validation F1-Macro 0.229, Train F1-Micro 0.514, Validation F1-Micro 0.229
Epoch 36, Loss 0.986, Train Accuracy 0.530, Validation Accuracy 0.523, Train F1-Macro 0.231, Validation F1-Macro 0.229, Train F1-Micro 0.530, Validation F1-Micro 0.229
Epoch 37, Loss 0.985, Train Accuracy 0.517, Validation Accuracy 0.523, Train F1-Macro 0.227, Validation F1-Macro 0.229, Train F1-Micro 0.517, Validation F1-Micro 0.229
Epoch 38, Loss 0.987, Train Accuracy 0.518, Validation Accuracy 0.523, Train F1-Macro 0.227, Validation F1-Macro 0.229, Train F1-Micro 0.518, Validation F1-Micro 0.229
Epoch 39, Loss 0.988, Train Accuracy 0.501, Validation Accuracy 0.523, Train F1-Macro 0.223, Validation F1-Macro 0.229, Train F1-Micro 0.501, Validation F1-Micro 0.229
Epoch 40, Loss 0.985, Train Accuracy 0.514, Validation Accuracy 0.523, Train F1-Macro 0.226, Validation F1-Macro 0.229, Train F1-Micro 0.514, Validation F1-Micro 0.229
Epoch 41, Loss 0.986, Train Accuracy 0.530, Validation Accuracy 0.523, Train F1-Macro 0.231, Validation F1-Macro 0.229, Train F1-Micro 0.530, Validation F1-Micro 0.229
Epoch 42, Loss 0.985, Train Accuracy 0.517, Validation Accuracy 0.523, Train F1-Macro 0.227, Validation F1-Macro 0.229, Train F1-Micro 0.517, Validation F1-Micro 0.229
Epoch 43, Loss 0.986, Train Accuracy 0.518, Validation Accuracy 0.523, Train F1-Macro 0.227, Validation F1-Macro 0.229, Train F1-Micro 0.518, Validation F1-Micro 0.229
Epoch 44, Loss 0.987, Train Accuracy 0.501, Validation Accuracy 0.523, Train F1-Macro 0.223, Validation F1-Macro 0.229, Train F1-Micro 0.501, Validation F1-Micro 0.229
Epoch 45, Loss 0.985, Train Accuracy 0.514, Validation Accuracy 0.523, Train F1-Macro 0.226, Validation F1-Macro 0.229, Train F1-Micro 0.514, Validation F1-Micro 0.229
Epoch 46, Loss 0.985, Train Accuracy 0.530, Validation Accuracy 0.523, Train F1-Macro 0.231, Validation F1-Macro 0.229, Train F1-Micro 0.530, Validation F1-Micro 0.229
Epoch 47, Loss 0.984, Train Accuracy 0.517, Validation Accuracy 0.523, Train F1-Macro 0.227, Validation F1-Macro 0.229, Train F1-Micro 0.517, Validation F1-Micro 0.229
Epoch 48, Loss 0.985, Train Accuracy 0.518, Validation Accuracy 0.523, Train F1-Macro 0.227, Validation F1-Macro 0.229, Train F1-Micro 0.518, Validation F1-Micro 0.229
Epoch 49, Loss 0.986, Train Accuracy 0.501, Validation Accuracy 0.523, Train F1-Macro 0.223, Validation F1-Macro 0.229, Train F1-Micro 0.501, Validation F1-Micro 0.229
Epoch 50, Loss 0.984, Train Accuracy 0.514, Validation Accuracy 0.523, Train F1-Macro 0.226, Validation F1-Macro 0.229, Train F1-Micro 0.514, Validation F1-Micro 0.229


